date,title,body
2004-10-01,お知らせ,10/1 23時頃～10/2 2時頃まで「jigブラウザ」がご利用しにくい状況が続いておりましたが、現在は復旧しております。ご迷惑おかけし誠に申し訳ありませんでした。
2004-10-08,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは1.0.3となっております。
▼変更点▼
・画像保存に対応(DoCoMoのみ)
・バグ修正
　DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。再ダウンロードURLはお客様番号によって異なりますので、お問い合わせください。"
2004-10-08,お知らせ,"サーバの混雑によりご迷惑をおかけし申し訳ありません。混雑している時間帯がございますので、その場合はしばらく経ってからアクセスしなおしてください。
混雑に対応するために、ただいま、サーバの増設、強化を手配しております。サーバの強化の方はしばらくお時間いただかなくてはならないため空いているサーバへの移行処置を検討しております。今後は解消されていく予定です。"
2004-10-12,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは1.0.4となっております。修正点は以下になります。
・お気に入りのバグ修正
・ホーム設定を空白にしたときのバグ修正
・エラーダイアログの表示バグ修正
・お気に入り追加でのフォルダ表示バグ修正
・ファイルコンポーネントでのバグ修正
・HELPにお知らせ追加
　DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。再ダウンロードURLはお客様番号によって異なりますので、お問い合わせください。"
2004-10-12,お知らせ,"jigブラウザが繋がらない現象について
　本日の13時に改善処理が済みました。まだ問題がある可能性もございますので、引き続き調査・改善を行ってまいります。"
2004-10-12,お知らせ,"jigブラウザが繋がらない現象について
・サーバ混雑
　弊社サーバの混雑により、ご迷惑をお掛けして申し訳ございません。下記にもあるように、現在対応中ですので、今後は解消されていく予定です。
・au定額制限
　auは定額プランの場合、1日あたりの通信量に制限があります。再ダウンロードでまたお使いいただけます。詳細は[MENU]ボタン→HELPの「よくある質問」をご覧下さい。"
2004-10-13,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは1.0.5となっております。修正点は以下になります。
・違うページが表示されるバグを修正
・カーソル速度の調整
　DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。再ダウンロードURLはお客様番号によって異なりますので、お問い合わせください。"
2004-10-15,お知らせ,SH900iをご利用のお客様で、FOMAカード差し替えでのご利用が正常にできないケースが確認されております。その場合はお問い合わせください。
2004-10-19,お知らせ,今までお客様番号によって異なっていた再ダウンロード用URLが共通になりました。　http://br.jig.jp/　よりお願いします。
2004-10-19,お知らせ,銀行の支店統合により、お振込先支店名が変わりました。新宿御苑前支店→新宿通支店　となります。ご連絡が遅くなり申し訳ございません。
2004-10-22,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは1.0.7となっております。修正点は以下になります。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・お気に入りを削除できない不具合を修正"
2004-10-22,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは1.0.6となっております。修正点は以下になります。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・設定初期化追加
　（ホーム設定と料金を除く全ての設定項目を初期状態にします）
・ページ展開処理高速化
・描画処理高速化
・画像のALT属性表示位置変更
・下記ショートカット機能追加
　[ページアップ、ページダウン(1画面分スクロール)]
　[ページ先頭、ページ末尾]
　[Google一発検索(I'm Feeling Luckyと同じ効果)]
　[カーソル消去]
・再DL時にサーバ側ブックマーク構成が変になっていたバグを修正
　※au版のみ、今回のバージョンをダウンロードした際に､フォルダにはいっていたブックマークがフォルダにはいっていない状態になります。お手数ですが、フォルダにいれなおしてください。次回再ダウンロードからは問題ございません。"
2004-10-23,お知らせ,jigブラウザの最新版を公開しました。最新バージョンは1.0.9となっております。修正点は以下になります。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。・一部のリンクにフォーカスが合わない不具合を修正
